Author ID,EID,Full Name,Surname,Given Name,Affiliation Name,Affiliation ID,Citation Count,Cited By Count,H-Index,Document Count,Subject Areas,Coauthor Count,Publication Start Year,Publication End Year
57970294300,9-s2.0-57970294300,Xiong J.,Xiong,Ji,"Southwestern University of Finance and Economics, Marketing at School of Business Administration",128864458,14,14,1,1,,2,2024,2024
32467444700,9-s2.0-32467444700,Shen H.,Shen,Hao,Chinese University of Hong Kong,60002798,757,690,14,23,,24,2008,2024
57144693500,9-s2.0-57144693500,Weingarten E.,Weingarten,Evan,Arizona State University,60003892,481,460,9,18,,41,2013,2024
55765549300,9-s2.0-55765549300,Packard G.,Packard,Grant,Schulich School of Business,60119111,2200,1889,14,22,,221,2013,2024
11142164900,9-s2.0-11142164900,Moore S.,Moore,Sarah G.,University of Alberta,60030835,825,730,14,32,,49,2006,2024
58447029600,9-s2.0-58447029600,Hartmann J.,Hartmann,Jochen,"TUM School of Management, Munich",60117649,45,45,2,3,,7,2023,2024
57209364889,9-s2.0-57209364889,Bergner A.,Bergner,Anouk S.,"University of St. Gallen, Institute of Behavioral Science and Technology",126968927,143,134,5,5,,9,2019,2023
55320136200,9-s2.0-55320136200,Hildebrand C.,Hildebrand,Christian,"University of St. Gallen, Institute of Behavioral Science and Technology",126968927,684,611,15,26,,39,2011,2024
57222056949,9-s2.0-57222056949,Park S.,Park,Sang-kyu,University of Florida,60013959,13,13,3,3,,4,2020,2023
57212453315,9-s2.0-57212453315,Song T.,Song,Taikgun,University of Florida,60013959,41,41,2,3,,7,2020,2023
36873964000,9-s2.0-36873964000,Sela A.,Sela,Aner,University of Florida,60013959,675,642,13,18,,21,2009,2023
57223200759,9-s2.0-57223200759,Nam J.,Nam,Jimin,Marketing Unit,129279422,186,178,2,3,,48,2021,2023
58133708000,9-s2.0-58133708000,Balakrishnan M.,Balakrishnan,Maya,Harvard Business School,60019666,2,2,1,1,,3,2023,2023
56085429400,9-s2.0-56085429400,Brooks A.,Brooks,Alison Wood,"Harvard Business School, Organizations",121851680,1885,1661,19,28,,47,2011,2023
57218513742,9-s2.0-57218513742,Sepehri A.,Sepehri,Amir,ESSEC Business School,60009891,24,23,3,4,,7,2021,2023
57224483196,9-s2.0-57224483196,Mirshafiee M.,Mirshafiee,Mitra Sadat,"Alzahra University, Department of Computer Engineering",103474074,3,3,1,3,,6,2021,2023
36864003900,9-s2.0-36864003900,Markowitz D.,Markowitz,David Matthew,"Michigan State University, Department of Communication",113697736,1423,1134,18,70,,71,2011,2024
